CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"1170","3",Brooklyn,"117000","3117000",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047117000","4305",5331.20060405000,1653944.13235000009,Brooklyn,"36047117000","1974",1400000US36047117000,"Census Tract 1170, Kings County, New York","30184800","11819291"
"1172.01","3",Brooklyn,"117201","3117201",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047117201","4305",5149.18204899000,1390018.21680000005,Brooklyn,"36047117201","2602",1400000US36047117201,"Census Tract 1172.01, Kings County, New York","66165000","15361614"
"1172.02","3",Brooklyn,"117202","3117202",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047117202","4305",5193.71814806000,1634622.19469000003,Brooklyn,"36047117202","4266",1400000US36047117202,"Census Tract 1172.02, Kings County, New York","120114600","34122994"
"1198","3",Brooklyn,"119800","3119800",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047119800","4305",8959.33436990000,3527651.37981999991,Brooklyn,"36047119800","3696",1400000US36047119800,"Census Tract 1198, Kings County, New York","80726500","23482860"
"1208.01","3",Brooklyn,"120801","3120801",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047120801","4305",6081.62990751000,2167971.93374999985,Brooklyn,"36047120801","3999",1400000US36047120801,"Census Tract 1208.01, Kings County, New York","167125200","58438689"
"1237","3",Brooklyn,"123700","3123700",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047123700","4303",7492.84448573000,3459462.47764999978,Brooklyn,"36047123700","8586",1400000US36047123700,"Census Tract 1237, Kings County, New York","91432800","25643169"
"143","1",Manhattan,"014300","1014300",,Central Park,MN6491,MN64,MN64 Central Park (JIA 64 Equivalent),"36061014300","4107",32721.09742950000,38312378.79779999703,Manhattan,"36061014300","129",1400000US36061014300,"Census Tract 143, New York County, New York",,
"71","2",Bronx,"007100","2007100",,Melrose,BX0102,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005007100","4221",8603.54219177000,2841852.30795999989,Bronx,"36005007100","2789",1400000US36005007100,"Census Tract 71, Bronx County, New York","72391400","14046347"
"141","2",Bronx,"014100","2014100",,Morrisania,BX0301,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005014100","4263",6841.72265464000,1907232.48809000012,Bronx,"36005014100","7344",1400000US36005014100,"Census Tract 141, Bronx County, New York","123498500","18858298"
"185.02","2",Bronx,"018502","2018502",,Morrisania,BX0301,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005018502","4263",8644.61393878000,2447228.12822999991,Bronx,"36005018502","6442",1400000US36005018502,"Census Tract 185.02, Bronx County, New York","71291600","16129642"
"146.06","5",Staten Island,"014606","5014606",,Great Kills-Eltingville,SI0302,SI03,SI03 South Shore (CD 3 Approximation),"36085014606","4503",20147.80962520000,19044545.84569999948,Staten Island,"36085014606","6288",1400000US36085014606,"Census Tract 146.06, Richmond County, New York","224480800","38483091"
"75","3",Brooklyn,"007500","3007500",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047007500","4306",7513.47764211000,3052490.56785999984,Brooklyn,"36047007500","4691",1400000US36047007500,"Census Tract 75, Kings County, New York","428533300","109501659"
"77","3",Brooklyn,"007700","3007700",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047007700","4306",10067.54981590000,4166505.20618000021,Brooklyn,"36047007700","5690",1400000US36047007700,"Census Tract 77, Kings County, New York","656030400","255754344"
"568","4",Queens,"056800","4056800",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081056800","4413",15714.05438530000,9137102.91612000018,Queens,"36081056800","4862",1400000US36081056800,"Census Tract 568, Queens County, New York","170444600","26735309"
"1058.04","3",Brooklyn,"105804","3105804",,Spring Creek-Starrett City,BK0504,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047105804","4305",15797.48535680000,7126198.47431000043,Brooklyn,"36047105804","6482",1400000US36047105804,"Census Tract 1058.04, Kings County, New York","205468900","89415479"
"334","2",Bronx,"033400","2033400",,Bronx Park,BX2791,BX27,BX27 Bronx Park (JIA 27 Approximation),"36005033400","4263",32849.02755140000,33461446.47089999914,Bronx,"36005033400","69",1400000US36005033400,"Census Tract 334, Bronx County, New York",,
