CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"119.01","3",Brooklyn,"011901","3011901",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047011901","4306",9823.39737864000,5040710.77591000032,Brooklyn,"36047011901","1589",1400000US36047011901,"Census Tract 119.01, Kings County, New York","112911200","35371018"
"119.02","3",Brooklyn,"011902","3011902",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047011902","4306",7752.95041700000,2648288.57578000007,Brooklyn,"36047011902","0",1400000US36047011902,"Census Tract 119.02, Kings County, New York",,
"121","3",Brooklyn,"012100","3012100",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047012100","4306",5142.25543362000,1593259.29446000000,Brooklyn,"36047012100","1916",1400000US36047012100,"Census Tract 121, Kings County, New York","124358500","26772719"
"122","3",Brooklyn,"012200","3012200",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047012200","4307",5623.94779459000,1951564.98028000002,Brooklyn,"36047012200","5521",1400000US36047012200,"Census Tract 122, Kings County, New York","120031700","28237600"
"126","3",Brooklyn,"012600","3012600",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047012600","4310",7452.74935348000,2553793.86824000021,Brooklyn,"36047012600","3085",1400000US36047012600,"Census Tract 126, Kings County, New York","68990200","17083903"
"130","3",Brooklyn,"013000","3013000",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047013000","4310",5648.23650664000,1899181.50844000001,Brooklyn,"36047013000","5347",1400000US36047013000,"Census Tract 130, Kings County, New York","158244100","26763310"
"131","3",Brooklyn,"013100","3013100",,Park Slope,BK0602,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047013100","4306",5288.63306619000,1684555.97653000010,Brooklyn,"36047013100","3979",1400000US36047013100,"Census Tract 131, Kings County, New York","380603600","85107922"
"133","3",Brooklyn,"013300","3013300",,Park Slope,BK0602,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047013300","4306",5175.70351111000,1596011.12565999990,Brooklyn,"36047013300","4411",1400000US36047013300,"Census Tract 133, Kings County, New York","532595400","99875597"
"135","3",Brooklyn,"013500","3013500",,Park Slope,BK0602,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047013500","4306",5224.71017596000,1635300.95978999999,Brooklyn,"36047013500","3799",1400000US36047013500,"Census Tract 135, Kings County, New York","385859900","78828707"
"136","3",Brooklyn,"013600","3013600",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047013600","4310",8226.98034589000,2312743.10307999980,Brooklyn,"36047013600","4079",1400000US36047013600,"Census Tract 136, Kings County, New York","190164900","33628388"
